Index of Urantia Foundation's News Online articles	https://www.urantia.org/urantia-foundation/newsletter-pdf-archives	is-title	Urantia Foundation News Online
A Urantia Book Youth Turns Forty	/en/article/Michael_MacIsaac/A_Urantia_Book_Youth_Turns_Forty	Michael MacIsaac	Urantia Foundation
Volume 10, 2016	---	is-volume	---
Volume 10, Issue 1, March 2016	/image/article/UF_News_Online/covers/2016_03.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2016_03	---	Urantia Foundation
The Urantia Book in Cameroon: Reflections from a Study Group Leader	/en/article/Paul_Tsekar/The_Urantia_Book_in_Cameroon_Reflections_from_a_Study_Group_Leader	Paul Tsekar	Africa, Study Groups, Urantia Foundation
Noteworthy Decisions from the January 2016 Board of Trustees Meeting	/en/article/Judy_Van_Cleave/Noteworthy_Decisions_from_the_January_2016_Board_of_Trustees_Meeting	Judy Van Cleave	Urantia Foundation
Science Symposium 2016	/en/article/Joanne_Strobel/Science_Symposium_2016	Joanne Strobel	Urantia Movement Event, Urantia Foundation
UBIS: A student's Perspective	/en/article/Michael_Barrett/UBIS_A_students_Perspective	Michael Barrett	UBIS, Urantia Foundation
2016 Joint Conference—Time Dwindles and Planning Intensifies	/en/article/David_Kulieke/2016_Joint_Conference_Time_Dwindles_and_Planning_Intensifies	David Kulieke	Urantia Foundation
The Women 's Assembly— an Uplifting Experience	/en/article/Line_St_Pierre_and_Katharina_Becker/The_Women_s_Assembly_an_Uplifting_Experience	Line St-Pierre and Katharina Becker	Urantia Movement Event, Urantia Foundation
Registration Starts Soon for The Urantia Book Internet School April Trimester	/en/article/Georges_Michelson_Dupont/Registration_Starts_Soon_for_The_Urantia_Book_Internet_School_April_Trimester	Georges Michelson-Dupont	UBIS, Urantia Foundation
How The Urantia Book Inspires Giving	/en/article/William_Cooper/How_The_Urantia_Book_Inspires_Giving	William Cooper	Urantia Foundation
Volume 10, Issue 2, June 2016	/image/article/UF_News_Online/covers/2016_06.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2016_06	---	Urantia Foundation
Remaining Relevant: Urantia Fundation Announces Urantia Press	/en/article/Tamara_Strumfeld/Remaining_Relevant_Urantia_Fundation_Announces_Urantia_Press	Tamara Strumfeld	Urantia Foundation
Noteworthy Decisions from the March 2016 Board of Trustees Meeting	/en/article/Judy_Van_Cleave/Noteworthy_Decisions_from_the_March_2016_Board_of_Trustees_Meeting	Judy Van Cleave	Urantia Foundation
The Revision of the Portuguese Translation of The Urantia Book	/en/article/Susana_Hutner/The_Revision_of_the_Portuguese_Translation_of_The_Urantia_Book	Susana Hutner	The Urantia Book—Portuguese, Urantia Foundation
Reflections on the 2016 Science Symposium	/en/article/Philip_Calabrese/Reflections_on_the_2016_Science_Symposium	Philip Calabrese	Urantia Movement Event, Urantia Foundation
The Summer Conference in San Antonio	/en/article/Joanne_Strobel/The_Summer_Conference_in_San_Antonio	Joanne Strobel	Urantia Movement Event, Urantia Foundation
The 2016 Bogotá International Book Fair	/en/article/Esperanza_Tovar_et_al/The_2016_Bogota_International_Book_Fair	Esperanza Tovar et al.	Dissemination, Latin America, Urantia Foundation
CosmicCreations—An Outreach Effort	/en/article/Rick_Lyon/CosmicCreations_An_Outreach_Effort	Rick Lyon	Urantia Foundation
What Did, Does, and Will The Urantia Book Mean To?	/en/article/David_Neufer/What_Did_Does_and_Will_The_Urantia_Book_Mean_To	David Neufer	Urantia Foundation
Volume 10, Issue 3, Sept. 2016	/image/article/UF_News_Online/covers/2016_09.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2016_09	---	Urantia Foundation
A Report on Translations of The Urantia Book	/en/article/Georges_Michelson_Dupont/A_Report_on_Translations_of_The_Urantia_Book	Georges Michelson-Dupont	The Urantia Book—Chinese, The Urantia Book—Czech, The Urantia Book—Danish, The Urantia Book—Farsi, The Urantia Book—Greek, The Urantia Book—Hebrew, The Urantia Book—Indonesian, The Urantia Book—Japanese, The Urantia Book—Portuguese, The Urantia Book—Russian, The Urantia Book—Spanish, The Urantia Book—Ukrainian, Urantia Foundation
Noteworthy Decisions from the July 2016 Board of Trustees Meeting	/en/article/Judy_Van_Cleave/Noteworthy_Decisions_from_the_July_2016_Board_of_Trustees_Meeting	Judy Van Cleave	Urantia Foundation
Volume 10, Issue 4, Dec. 2016	/image/article/UF_News_Online/covers/2016_12.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2016_12	---	Urantia Foundation
Stewardship	/en/article/Ralph_Zehr/Stewardship	Ralph Zehr	Urantia Foundation
Noteworthy Decisions from the October 2016 Board of Trustees Meeting	/en/article/Judy_Van_Cleave/Noteworthy_Decisions_from_the_October_2016_Board_of_Trustees_Meeting	Judy Van Cleave	Urantia Foundation
A New Library of Human Source Books	/en/article/Steve_Dreier/A_New_Library_of_Human_Source_Books	Steve Dreier	Source Book, Source authors, Urantia Foundation
The First Conference for Readers of The Urantia Book in Russia	/en/article/Tamila_Ragimova/The_First_Conference_for_Readers_of_The_Urantia_Book_in_Russia	Tamila Ragimova	Urantia Movement Event, Urantia Foundation
2016 European Urantia Conference in Budapest—Who is Jesus?	/en/article/Ina_Terra/2016_European_Urantia_Conference_in_Budapest_Who_is_Jesus	Ina Terra	Urantia Movement Event, Urantia Foundation
The Latin American Conference—The Teacher and the Student	/en/article/Olga_Lopez/The_Latin_American_Conference_The_Teacher_and_the_Student	Olga López	Latin America, Urantia Movement Event, Urantia Foundation
Dancing with God: Embodying the Love of God	/en/article/Line_St_Pierre_et_al/Dancing_with_God_Embodying_the_Love_of_God	Line St-Pierre et al.	Urantia Movement Event, Urantia Foundation
Cathy Jones, “Our Cathy”	/en/article/Patricia_Jordan_Snyder/Cathy_Jones_Our_Cathy	Patricia Jordan Snyder	Urantia Foundation
Circles of Trust: An Experience in Soul Sharing	/en/article/Bobbie_Dreier/Circles_of_Trust_An_Experience_in_Soul_Sharing	Bobbie Dreier	Urantia Foundation
The World's Best Stories	/en/article/UF_News_Online/The_Worlds_Best_Stories	---	Urantia Foundation
Volume 11, 2017	---	is-volume	---
Volume 11, Issue 1, March 2017	/image/article/UF_News_Online/covers/2017_03.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2017_03	---	Urantia Foundation
Joint Education Seminar at Urantia Foundation Focuses on Sharing the Teachings	/en/article/David_Kulieke/Joint_Education_Seminar_at_Urantia_Foundation_Focuses_on_Sharing_the_Teachings	David Kulieke	Urantia Foundation
Noteworthy Decisions from the January 2017 Board of Trustees Meeting	/en/article/Judy_Van_Cleave/Noteworthy_Decisions_from_the_January_2017_Board_of_Trustees_Meeting	Judy Van Cleave	Urantia Foundation
The Polish Translation After Six Years	/en/article/Paul_and_Gosia_Jaworski/The_Polish_Translation_After_Six_Years	Paul and Gosia Jaworski	The Urantia Book—Polish, Urantia Foundation
Report from the Finnish Office	/en/article/Tapio_Pulli/Report_from_the_Finnish_Office	Tapio Pulli	Urantia Foundation
Mission Accomplished—A Urantia Conference in Ghana	/en/article/Kwadjo_SPiRi/Mission_Accomplished_A_Urantia_Conference_in_Ghana	Kwadjo SPiRi	Urantia Movement Event, Africa, Urantia Foundation
My Experience As a Urantia Book Internet School Facilitator	/en/article/Erika_Webster/My_Experience_As_a_Urantia_Book_Internet_School_Facilitator	Erika Webster	UBIS, Urantia Foundation
The Girl in the Pink Shirt	/en/article/Jennifer_Siegel/The_Girl_in_the_Pink_Shirt	Jennifer Siegel	Urantia Foundation
Dancing with God: Emerging in Sacredness—A Daughters of God Retreat	/en/article/UF_News_Online/Dancing_with_God_Emerging_in_Sacredness_A_Daughters_of_God_Retreat	---	Urantia Movement Event, Urantia Foundation
Circles of Trust: An Experience in Soul Sharing	/en/article/Bobbie_Dreier/Circles_of_Trust_An_Experience_in_Soul_Sharing_2	Bobbie Dreier	Urantia Foundation
The Greatest Stories Ever Told	/en/article/UF_News_Online/The_Greatest_Stories_Ever_Told	---	Urantia Foundation
Volume 11, Issue 2, June 2017	/image/article/UF_News_Online/covers/2017_06.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2017_06	---	Urantia Foundation
Seeding The Urantia Book in the Philippines: Tour Number Three	/en/article/Belen_Asidao/Seeding_The_Urantia_Book_in_the_Philippines_Tour_Number_Three	Belen Asidao	Dissemination, Urantia Foundation
Noteworthy Decisions from the April 2017 Board of Trustees Meeting	/en/article/Judy_Van_Cleave/Noteworthy_Decisions_from_the_April_2017_Board_of_Trustees_Meeting	Judy Van Cleave	Urantia Foundation
Translations and Unity	/en/article/Georges_Michelson_Dupont/Translations_and_Unity	Georges Michelson-Dupont	Urantia Foundation
BookExpo America 2017	/en/article/Tamara_Strumfeld/BookExpo_America_2017	Tamara Strumfeld	Urantia Movement Event, Urantia Foundation
The UBIS Experience	/en/article/Guy_Stephane_Nyasse/The_UBIS_Experience	Guy Stéphane Nyasse	UBIS, Urantia Foundation
The International Book Fair in Bogotá	/en/article/Andres_Ramirez/The_International_Book_Fair_in_Bogota	Andrés Ramirez	Dissemination, Latin America, Urantia Movement Event, Urantia Foundation
God in Man—The Spanish Readers Gather	/en/article/Olga_Lopez/God_in_Man_The_Spanish_Readers_Gather	Olga López	Urantia Movement Event, Urantia Foundation
What Can the Emerging Philosophy of Living Do?	/en/article/Jeff_Wattles/What_Can_the_Emerging_Philosophy_of_Living_Do	Jeff Wattles	Urantia Foundation
Spiritual Rebirth—How The Urantia Book Transformed Me	/en/article/MaryJo_Garascia/Spiritual_Rebirth_How_The_Urantia_Book_Transformed_Me	MaryJo Garascia	Urantia Foundation
Announcements	/en/article/UF_News_Online/Announcements_2017_06	---	Urantia Foundation
Volume 11, Issue 3, Oct. 2017	/image/article/UF_News_Online/covers/2017_10.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2017_10	---	Urantia Foundation
Free Downloads of The Urantia Book at urantia.org	/en/article/Joanne_Strobel/Free_Downloads_of_The_Urantia_Book_at_urantiaorg	Joanne Strobel	Urantia Foundation
Noteworthy Decisions from the July 2017 Board of Trustees Meeting	/en/article/Judy_Van_Cleave/Noteworthy_Decisions_from_the_July_2017_Board_of_Trustees_Meeting	Judy Van Cleave	Urantia Foundation
Urantia Foundation's Index of The Urantia Book	/en/article/Tamara_Strumfeld/Urantia_Foundations_Index_of_The_Urantia_Book	Tamara Strumfeld	The Urantia Book, Urantia Foundation
Dancing With God: Emerging In Sacredness- A Retreat For Women At Urantia Foundation	/en/article/Line_St_Pierre_et_al/Dancing_with_God	Line St-Pierre et al.	Urantia Movement Event, Urantia Foundation
The 2018 Urantia Association International Conference	/en/article/Antonio_Schefer/The_2018_Urantia_Association_International_Conference	Antonio Schefer	Urantia Movement Event, Urantia Foundation
The IC'17 Children's Program: How I Got By With A Lot Of Help From My Friends!	/en/article/Marie_Vasile/The_IC17_Childrens_Program	Marie Vasile	Urantia Movement Event, Urantia Foundation
Signs and Wonders	/en/article/Ken_Keyser/Signs_and_Wonders	Ken Keyser	Urantia Foundation
Ask and You Shall Receive	/en/article/Daniel_Casko/Ask_and_You_Shall_Receive	Daniel Casko	Urantia Foundation
Volume 11, Issue 4, Dec. 2017	/image/article/UF_News_Online/covers/2017_12.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2017_12	---	Urantia Foundation
Curing Blindness in Ethiopia	/en/article/Mo_Siegel/Curing_Blindness_in_Ethiopia	Mo Siegel	Service, Service Opportunities, Africa, Urantia Foundation
Noteworthy Decisions from the October 2017 Board of Trustees Meeting	/en/article/Judy_Van_Cleave/Noteworthy_Decisions_from_the_October_2017_Board_of_Trustees_Meeting	Judy Van Cleave	Urantia Foundation
The Spanish Revision Team Visits Urantia Foundation	/en/article/Marilynn_Kulieke/The_Spanish_Revision_Team_Visits_Urantia_Foundation	Marilynn Kulieke	The Urantia Book—Spanish, Urantia Foundation
2017 Year-end Match	/en/article/UF_News_Online/2017_Year_end_Match	---	Urantia Foundation
Sending Donations to Urantia Foundation	/en/article/John_Strobel/Sending_Donations_to_Urantia_Foundation	John Strobel	Urantia Foundation
A Look into the Future	/en/article/Georges_Michelson_Dupont/A_Look_into_the_Future	Georges Michelson-Dupont	Urantia Foundation
A Urantia Book Booth at the Miami Book Fair	/en/article/Ramon_Franco/A_Urantia_Book_Booth_at_the_Miami_Book_Fair	Ramón Franco	Urantia Movement Event, Urantia Foundation
Season's Greetings: Reflections on True Gifts from The Urantia Book	/en/article/Steve_Shinall/Seasons_Greetings_Reflections_on_True_Gifts_from_The_Urantia_Book	Steve Shinall	Urantia Foundation
Volume 12, 2018	---	is-volume	---
Volume 12, Issue 1, March 2018	/image/article/UF_News_Online/covers/2018_03.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2018_03	---	Urantia Foundation
The Revelation Bridge Endowment Fund-Securing the Future for The Urantia Book and Its Teachings	/en/article/Tamara_Strumfeld/The_Revelation_Bridge_Endowment_Fund	Tamara Strumfeld	Urantia Foundation
Noteworthy Decisions from the January 2018 Board of Trustees Meeting	/en/article/Judy_Van_Cleave/Noteworthy_Decisions_from_the_January_2018_Board_of_Trustees_Meeting	Judy Van Cleave	Urantia Foundation
Sending Le Livre d'Urantia to Cameroon	/en/article/Georges_Michelson_Dupont/Sending_Le_Livre_dUrantia_to_Cameroon	Georges Michelson-Dupont	Dissemination, Africa, Urantia Foundation
Urantia Book Internet School-Fellowship Across the Globe	/en/article/Jackie_Koury/Urantia_Book_Internet_School_Fellowship_Across_the_Globe	Jackie Koury	UBIS, Urantia Foundation
The Urantia Book in Fiji	/en/article/David_Linthicum/The_Urantia_Book_in_Fiji	David Linthicum	Dissemination, Urantia Foundation
Urantia Association and Urantia Foundation Meet at 533 in Chicago	/en/article/Chris_Wood/Urantia_Association_and_Urantia_Foundation_Meet_at_533_in_Chicago	Chris Wood	Urantia Foundation
Remembering Larry Watkins—Treasured Server of the Urantia Revelation	/en/article/MaryJo_Garascia/Remembering_Larry_Watkins_Treasured_Server_of_the_Urantia_Revelation	MaryJo Garascia	Urantia Foundation
Appreciating Sue Tennant	/en/article/Share_Beasley/Appreciating_Sue_Tennant	Share Beasley	Urantia Foundation
The Pipeline Of Light—Seeding The Urantia Book Worldwide	/en/article/Michelle_Klimesh/The_Pipeline_of_Light_2	Michelle Klimesh	Urantia Foundation
A Way To Be of Service	/en/article/UF_News_Online/A_Way_To_Be_of_Service	---	Service, Service Opportunities, Urantia Foundation
What The Urantia Book Means to Me	/en/article/Paul_Anderson/What_The_Urantia_Book_Means_to_Me	Paul Anderson	Urantia Foundation
The Urantia Book Fellowship's Summer Study Session 2018	/en/article/Bobbie_Dreier/The_Urantia_Book_Fellowships_Summer_Study_Session_2018	Bobbie Dreier	Urantia Movement Event, Urantia Foundation
“Dancing with God—Courageously Living His Love”	/en/article/UF_News_Online/Dancing_with_God_Courageously_Living_His_Love	---	Urantia Movement Event, Urantia Foundation
Volume 12, Issue 2, July 2018	/image/article/UF_News_Online/covers/2018_07.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2018_07	---	Urantia Foundation
Richard Keeler Retires	/en/article/UF_News_Online/Richard_Keeler_Retires	---	Urantia Foundation
Noteworthy Decisions from the April 2018 Board of Trustees Meeting	/en/article/Judy_Van_Cleave/Noteworthy_Decisions_from_the_April_2018_Board_of_Trustees_Meeting	Judy Van Cleave	Urantia Foundation
The Parables Book—A Resource for Outreach	/en/article/John_Hales/The_Parables_Book_A_Resource_for_Outreach	John Hales	Urantia Foundation
A Knowledgeable Guide to Point the Way—Urantia Foundation's Index	/en/article/Bruce_Johnson/A_Knowledgeable_Guide_to_Point_the_Way_Urantia_Foundations_Index	Bruce Johnson	Urantia Foundation
Jesus as a Teacher—2018 International Conference in Amsterdam	/en/article/Antonio_Schefer/Jesus_as_a_Teacher_2018_International_Conference_in_Amsterdam	Antonio Schefer	Urantia Movement Event, Urantia Foundation
Ghana—The Teachings Spread with Conferences and Gift Books	/en/article/Collins_Lomo/Ghana_The_Teachings_Spread_with_Conferences_and_Gift_Books	Collins Lomo	Urantia Movement Event, Africa, Urantia Foundation
Celebrating Marjorie Reed	/en/article/Ralph_and_Betty_Zehr/Celebrating_Marjorie_Reed	Ralph and Betty Zehr	Urantia Foundation
Spreading The Urantia Book Throughout Italy	/en/article/Cesare_Nicoletti/Spreading_The_Urantia_Book_Throughout_Italy	Cesare Nicoletti	Dissemination, Urantia Foundation
Announcements	/en/article/UF_News_Online/Announcements_2018_07	---	Urantia Foundation
Volume 12, Issue 3, Oct. 2018	/image/article/UF_News_Online/covers/2018_10.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2018_10	---	Urantia Foundation
A Way to Serve and to Seed-Urantia Foundation Sends 600 Books to Latin America	/en/article/Wilson_Leon_and_Andres_Ramirez/A_Way_to_Serve_and_to_Seed_Urantia_Foundation_Sends_600_Books_to_Latin_America	Wilson León and Andrés Ramírez	Dissemination, Latin America, Urantia Foundation
Noteworthy Decisions from 2 the July 2018 Board of Trustees Meeting	/en/article/Judy_Van_Cleave/Noteworthy_Decisions_from_2_the_July_2018_Board_of_Trustees_Meeting	Judy Van Cleave	Urantia Foundation
Update: Outreach in the Philippines	/en/article/Cece_Forrester/Update_Outreach_in_the_Philippines	Cece Forrester	Dissemination, Urantia Foundation
The Challenges of Translating The Urantia Book	/en/article/Georges_Michelson_Dupont/The_Challenges_of_Translating_The_Urantia_Book	Georges Michelson-Dupont	Urantia Foundation
The Urantia Book Study Group Directory Launched a New Website	/en/article/Scott_Brooks/The_Urantia_Book_Study_Group_Directory_Launched_a_New_Website	Scott Brooks	Study Groups, Urantia Foundation
Reflections of the 2018 Summer Study Session	/en/article/Gary_Deinstadt/Reflections_of_the_2018_Summer_Study_Session	Gary Deinstadt	Urantia Movement Event, Urantia Foundation
Urantia Foundation to Attend the 2018 Parliament of the World's Religions	/en/article/Lainey_Doremus/Urantia_Foundation_to_Attend_the_2018_Parliament_of_the_Worlds_Religions	Lainey Doremus	Urantia Movement Event, Urantia Foundation
What The Urantia Book Means to Me	/en/article/Khatukhira_Bernard/What_The_Urantia_Book_Means_to_Me	Khatukhira Bernard	Urantia Foundation
Announcements	/en/article/UF_News_Online/Announcements_2018_10	---	Urantia Foundation
Volume 12, Issue 4, Dec. 2018	/image/article/UF_News_Online/covers/2018_12.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2018_12	---	Urantia Foundation
It's the Season of Giving	/en/article/UF_News_Online/Its_the_Season_of_Giving	---	Urantia Foundation
Noteworthy Decisions from the October 2018 Board of Trustees Meeting	/en/article/Judy_Van_Cleave/Noteworthy_Decisions_from_the_October_2018_Board_of_Trustees_Meeting	Judy Van Cleave	Urantia Foundation
UBIS Gets a Makeover	/en/article/Joanne_Strobel/UBIS_Gets_a_Makeover	Joanne Strobel	UBIS, Urantia Foundation
Our Experiences at the 2018 Parliament of the World 's Religions	/en/article/Alain_Cyr/Our_Experiences_at_the_2018_Parliament_of_the_World_s_Religions	Alain Cyr	Urantia Movement Event, Urantia Foundation
Dancing with God: The Fifth Annual Women's Retreat	/en/article/Line_St_Pierre_and_Jodi_Niggemann/Dancing_with_God_The_Fifth_Annual_Womens_Retreat	Line St-Pierre and Jodi Niggemann	Urantia Movement Event, Urantia Foundation
Seeding The Urantia Book in Romania	/en/article/Timothy_Minasian/Seeding_The_Urantia_Book_in_Romania	Timothy Minasian	Dissemination, Urantia Foundation
What The Urantia Book Means to Me	/en/article/Moustapha_NDiaye/What_The_Urantia_Book_Means_to_Me	Moustapha N'Diaye	Urantia Foundation
Announcements	/en/article/UF_News_Online/Announcements_2018_12	---	Urantia Foundation
Volume 13, 2019	---	is-volume	---
Volume 13, Issue 1, April 2019	/image/article/UF_News_Online/covers/2019_04.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2019_04	---	Urantia Foundation
Our Brother Richard	/en/article/Georges_Michelson_Dupont/Our_Brother_Richard	Georges Michelson-Dupont	Urantia Foundation
Noteworthy Decisions from the January 2019 Board of Trustees Meeting	/en/article/Judy_Van_Cleave/Noteworthy_Decisions_from_the_January_2019_Board_of_Trustees_Meeting	Judy Van Cleave	Urantia Foundation
The Untold Story of Jesus: A Modern Biography from The Urantia Book	/en/article/Jim_English/The_Untold_Story_of_Jesus_A_Modern_Biography_from_The_Urantia_Book	Jim English	Urantia Foundation
Global Cultural Symposium at Urantia Foundation	/en/article/Marta_Elders/Global_Cultural_Symposium_at_Urantia_Foundation	Marta Elders	Urantia Movement Event, Urantia Foundation
The UBIS Experience—Behind the Scenes	/en/article/Michael_Zehr/The_UBIS_Experience_Behind_the_Scenes	Michael Zehr	UBIS, Urantia Foundation
What The Urantia Book Means to Me 	/en/article/Simonas_Jurgionis/What_The_Urantia_Book_Means_to_Me	Simonas Jurgionis	Urantia Foundation
Announcements	/en/article/UF_News_Online/Announcements_2019_04	---	Urantia Foundation
Volume 13, Issue 2, July 2019	/image/article/UF_News_Online/covers/2019_07.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2019_07	---	Urantia Foundation
Creating Translations out of Love: Urantia Foundation's Quality Process	/en/article/Marilynn_Kulieke/Creating_Translations_out_of_Love_Urantia_Foundations_Quality_Process	Marilynn Kulieke	Urantia Foundation
Noteworthy Board Decisions from the April 2019 Trustees Meeting	/en/article/Judy_Van_Cleave/Noteworthy_Board_Decisions_from_the_April_2019_Trustees_Meeting	Judy Van Cleave	Urantia Foundation
Urantia Foundation's Global Cultural Symposium	/en/article/Claire_Mylanus/Urantia_Foundations_Global_Cultural_Symposium	Claire Mylanus	Urantia Movement Event, Urantia Foundation
My Personal Experience At The Cultural Symposium	/en/article/Khat_Bernard/Global_Cultural_Symposium_at_Urantia_Foundation	Khat Bernard	Urantia Movement Event, Urantia Foundation
Ways to Help Spread the Urantia Revelation	/en/article/Mo_Siegel/Ways_to_Help_Spread_the_Urantia_Revelation	Mo Siegel	Dissemination, Urantia Foundation
CosmicCreations—Our Service Project	/en/article/Rick_Lyon/CosmicCreations_Our_Service_Project	Rick Lyon	Urantia Foundation
Celebrating Moussa N'Diaye and Norman Ingram	/en/article/Cece_Forrester/Celebrating_Moussa_NDiaye_and_Norman_Ingram	Cece Forrester	Urantia Foundation
What The Urantia Book Means to Me	/en/article/Agnes_Lazar/What_The_Urantia_Book_Means_to_Me	Agnès Lazar	Urantia Foundation
Announcements	/en/article/UF_News_Online/Announcements_2019_07	---	Urantia Foundation
Volume 13, Issue 3, Oct. 2019	/image/article/UF_News_Online/covers/2019_10.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2019_10	---	Urantia Foundation
The Spanish Revision Is Almost Finished	/en/article/Mo_Siegel/The_Spanish_Revision_Is_Almost_Finished	Mo Siegel	The Urantia Book—Spanish, Urantia Foundation
Noteworthy Board Decisions from the July 2019 Trustees Meeting	/en/article/Judy_Van_Cleave/Noteworthy_Board_Decisions_from_the_July_2019_Trustees_Meeting	Judy Van Cleave	Urantia Foundation
Study Groups and Translations	/en/article/Gaetan_Charland/Study_Groups_and_Translations	Gaétan Charland	Study Groups, Urantia Foundation
The Second UAI European Conference in Tallinn	/en/article/Sebastian_Nozzi_et_al/The_Second_UAI_European_Conference_in_Tallinn	Sebastian Nozzi et al.	Urantia Movement Event, Urantia Foundation
Remembering Mark Bloomfield	/en/article/Kathleen_Swadling/Remembering_Mark_Bloomfield	Kathleen Swadling	Urantia Foundation
Announcements	/en/article/UF_News_Online/Announcements_2019_10	---	Urantia Foundation
Volume 13, Issue 4, Dec. 2019	/image/article/UF_News_Online/covers/2019_12.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2019_12	---	Urantia Foundation
Together We Can Make a Diference	/en/article/UF_News_Online/Together_We_Can_Make_a_Diference	---	Urantia Foundation
Noteworthy Decisions from the October 2019 Trustees Meeting	/en/article/Judy_Van_Cleave/Noteworthy_Decisions_from_the_October_2019_Trustees_Meeting	Judy Van Cleave	Urantia Foundation
My Impressions of the Spanish Revision	/en/article/Gaetan_Charland/My_Impressions_of_the_Spanish_Revision	Gaétan Charland	The Urantia Book—Spanish, Urantia Foundation
Science Symposium 2019	/en/article/Joanne_Strobel/Science_Symposium_2019	Joanne Strobel	Urantia Movement Event, Urantia Foundation
A Celebration of Souls	/en/article/Joanne_Strobel/A_Celebration_of_Souls	Joanne Strobel	Urantia Foundation
The Presence of Urantia Peru at the Cusco International Book Fair 2019	/en/article/Vanessa_Ruiz_Gamero/The_Presence_of_Urantia_Peru_at_the_Cusco_International_Book_Fair_2019	Vanessa Ruiz Gamero	Dissemination, Latin America, Urantia Movement Event, Urantia Foundation
The Word, the Language, the Dictionary	/en/article/Peter_Walker/The_Word_the_Language_the_Dictionary	Peter Walker	Urantia Foundation
Dancing with God—Our Supreme Calling Retreat	/en/article/Line_St_Pierre/Dancing_with_God_Our_Supreme_Calling_Retreat	Line St-Pierre	Urantia Movement Event, Urantia Foundation
Seattle Hempfest Report	/en/article/Thomas_Orjala/Seattle_Hempfest_Report	Thomas Orjala	Urantia Movement Event, Urantia Foundation
An Essay on Finding Truth	/en/article/Nancy_Votrain/An_Essay_on_Finding_Truth	Nancy Votrain	Urantia Foundation
Announcements	/en/article/UF_News_Online/Announcements_2019_12	---	Urantia Foundation
Volume 14, 2020	---	is-volume	---
Volume 14, Issue 1, April 2020	/image/article/UF_News_Online/covers/2020_04.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2020_04	---	Urantia Foundation
A Filipino Translation of The Urantia Book	/en/article/Jay_Peregrine/A_Filipino_Translation_of_The_Urantia_Book	Jay Peregrine	Urantia Foundation
Noteworthy Decisions from 2 the January 2020 Trustees Meeting	/en/article/Judy_Van_Cleave/Noteworthy_Decisions_from_2_the_January_2020_Trustees_Meeting	Judy Van Cleave	Urantia Foundation
Remembering Carmelo María Martínez Ortiz De Zarate 1947-2020	/en/article/Olga_Lopez_et_al/Remembering_Carmelo_Maria_Martinez_Ortiz_de_Zarate	Olga López et al.	Urantia Foundation
Online Education—A Global Mission	/en/article/Joanne_Strobel/Online_Education_A_Global_Mission	Joanne Strobel	Urantia Foundation
The 2019 Urantia Book Conference in the Philippines	/en/article/Belen_Asidao/The_2019_Urantia_Book_Conference_in_the_Philippines	Belen Asidao	Urantia Movement Event, Urantia Foundation
A Story of Three Audiobooks	/en/article/Claude_Flibotte/A_Story_of_Three_Audiobooks	Claude Flibotte	Urantia Foundation
Sharing The Urantia Book	/en/article/Vanderlei_Martinianos/Sharing_The_Urantia_Book	Vanderlei Martinianos	Urantia Foundation
Announcements	/en/article/UF_News_Online/Announcements_2020_04	---	Urantia Foundation
Volume 14, Issue 2, June 2020	/image/article/UF_News_Online/covers/2020_06.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2020_06	---	Urantia Foundation
